long,lat,group,order,region,subregion,lat_trunc,long_trunc
-73.81415557861328,40.81178283691406,2,254,new york,main,40.8,-73.8
-73.90582275390625,40.846160888671875,2,255,new york,main,40.8,-73.9
-73.90582275390625,40.81178283691406,2,256,new york,main,40.8,-73.9
-73.89437103271484,40.806053161621094,2,257,new york,main,40.8,-73.9
-73.91728210449219,40.90345764160156,2,258,new york,main,40.9,-73.9
-73.91155242919922,40.90918731689453,2,259,new york,main,40.9,-73.9
-73.90010070800781,40.9951286315918,2,260,new york,main,41,-73.9
-74.19229888916016,41.12691116333008,2,261,new york,main,41.1,-74.2
-74.2381362915039,41.144100189208984,2,262,new york,main,41.1,-74.2
-74.37564849853516,41.201393127441406,2,263,new york,main,41.2,-74.4
-74.72515869140625,41.3675537109375,2,264,new york,main,41.4,-74.7
-74.73661041259766,41.390472412109375,2,265,new york,main,41.4,-74.7
-74.7538070678711,41.41339111328125,2,266,new york,main,41.4,-74.8
-74.76526641845703,41.430580139160156,2,267,new york,main,41.4,-74.8
-74.82828521728516,41.430580139160156,2,268,new york,main,41.4,-74.8
-74.85693359375,41.430580139160156,2,269,new york,main,41.4,-74.9
-74.89704132080078,41.45349884033203,2,270,new york,main,41.5,-74.9
-74.93714904785156,41.47068405151367,2,271,new york,main,41.5,-74.9
-74.97725677490234,41.48214340209961,2,272,new york,main,41.5,-75
-75.00017547607422,41.49933624267578,2,273,new york,main,41.5,-75
-75.01163482666016,41.52225112915039,2,274,new york,main,41.5,-75
-75.040283203125,41.57381820678711,2,275,new york,main,41.6,-75
-75.063201904296875,41.596736907958984,2,276,new york,main,41.6,-75.1
-75.06893157958984,41.608192443847656,2,277,new york,main,41.6,-75.1
-75.063201904296875,41.711326599121094,2,278,new york,main,41.7,-75.1
-75.05174255371094,41.73997497558594,2,279,new york,main,41.7,-75.1
-75.07466125488281,41.757164001464844,2,280,new york,main,41.8,-75.1
-75.1147689819336,41.78008270263672,2,281,new york,main,41.8,-75.1
-75.1147689819336,41.81446075439453,2,282,new york,main,41.8,-75.1
-75.12622833251953,41.83164596557617,2,283,new york,main,41.8,-75.1
-75.154876708984375,41.848838806152344,2,284,new york,main,41.8,-75.2
-75.17779541015625,41.85456466674805,2,285,new york,main,41.9,-75.2
-75.22935485839844,41.86029815673828,2,286,new york,main,41.9,-75.2
-75.246551513671875,41.86602783203125,2,287,new york,main,41.9,-75.2
-75.26946258544922,41.883216857910156,2,288,new york,main,41.9,-75.3
-75.286651611328125,41.94050979614258,2,289,new york,main,41.9,-75.3
-75.31529998779297,41.96342849731445,2,290,new york,main,42,-75.3
-75.35540771484375,42.003536224365234,2,291,new york,main,42,-75.4
-75.4012451171875,42.003536224365234,2,292,new york,main,42,-75.4
-75.4757308959961,42.003536224365234,2,293,new york,main,42,-75.5
-76.105987548828125,42.003536224365234,2,294,new york,main,42,-76.1
-76.146087646484375,42.003536224365234,2,295,new york,main,42,-76.1
